ind,ind_name,occ_name,size,mean_local_relatedness,act_complexity
CC91_,Furniture and other manufacturing,Trades workers,27,0.51,-0.25
CC91_,Furniture and other manufacturing,Elementary occupations (inc. residuals),9,0.52,0.13
DD1_,"Electricity, gas, water and waste services",Technicians and associate professionals,18,0.53,-0.41
DD1_,"Electricity, gas, water and waste services",Clerks,15,0.53,-0.75
EE1_,Other construction,Legislators,138,0.52,-0.5
EE110,Residential building construction,Clerks,15,0.51,-0.45
EE110,Residential building construction,Trades workers,216,0.51,-0.61
EE110,Residential building construction,Elementary occupations (inc. residuals),33,0.5,-0.44
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Legislators,84,0.5,1.3
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Technicians and associate professionals,66,0.51,0.76
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Clerks,33,0.51,0.42
FF11_,"Machinery, equipment and motor vehical parts wholesaling",Elementary occupations (inc. residuals),21,0.51,0.41
FF110,Other goods and commission based wholesaling,Legislators,36,0.49,1.74
FF110,Other goods and commission based wholesaling,Technicians and associate professionals,24,0.49,1.28
FF110,Other goods and commission based wholesaling,Clerks,12,0.5,1.04
FF110,Other goods and commission based wholesaling,Service and sales workers,18,0.5,1.41
FF110,Other goods and commission based wholesaling,Elementary occupations (inc. residuals),9,0.5,0.76
FF111,Basic material wholesaling,Legislators,54,0.52,0.38
FF111,Basic material wholesaling,Technicians and associate professionals,36,0.54,-0.71
FF111,Basic material wholesaling,Clerks,27,0.52,-0.44
FF114,"Grocery, liquor and tobacco product wholesaling",Legislators,36,0.5,1.64
FF114,"Grocery, liquor and tobacco product wholesaling",Technicians and associate professionals,24,0.5,0.83
FF114,"Grocery, liquor and tobacco product wholesaling",Clerks,27,0.51,-0.29
GH122,Specialised food retailing,Legislators,33,0.52,0.72
GH130,Other store based retailing; non store and commission based wholesaling,Legislators,57,0.51,1.51
GH130,Other store based retailing; non store and commission based wholesaling,Professionals,33,0.49,1.7
GH130,Other store based retailing; non store and commission based wholesaling,Technicians and associate professionals,45,0.53,-0.06
GH130,Other store based retailing; non store and commission based wholesaling,Clerks,18,0.52,0.63
GH130,Other store based retailing; non store and commission based wholesaling,Service and sales workers,114,0.51,1.27
GH130,Other store based retailing; non store and commission based wholesaling,Elementary occupations (inc. residuals),21,0.53,-0.21
GH131,"Furniture, electrical and hardware retailing",Technicians and associate professionals,39,0.52,0.42
GH132,"Recreational, clothing, footwear and personal accessory retailing",Legislators,90,0.5,1.61
GH132,"Recreational, clothing, footwear and personal accessory retailing",Clerks,9,0.5,0.31
GH132,"Recreational, clothing, footwear and personal accessory retailing",Service and sales workers,198,0.5,0.8
GH21_,Accomodation and food services,Legislators,267,0.5,0.97
GH21_,Accomodation and food services,Clerks,54,0.49,1.09
GH21_,Accomodation and food services,Service and sales workers,651,0.48,1.4
II111,Road transport,Legislators,36,0.53,-0.57
II111,Road transport,Clerks,21,0.51,-0.55
II123,Air and space transport,Technicians and associate professionals,18,0.49,0.71
II13_,"Postal, courier transport support and warehousing services",Clerks,87,0.5,-0.09
II13_,"Postal, courier transport support and warehousing services",Elementary occupations (inc. residuals),102,0.51,-0.61
JJ11_,Information media services,Technicians and associate professionals,84,0.47,1.92
JJ11_,Information media services,Elementary occupations (inc. residuals),12,0.52,0.42
JJ120,Telecommunications services including internet service providers,Legislators,9,0.46,2
JJ120,Telecommunications services including internet service providers,Technicians and associate professionals,9,0.48,1.59
KK1_,Other financial and insurance services,Legislators,21,0.47,1.91
KK1_,Other financial and insurance services,Technicians and associate professionals,90,0.48,1.57
KK1_,Other financial and insurance services,Clerks,27,0.47,1.81
KK110,Banking and financing; financial asset investing,Legislators,108,0.48,2.01
KK110,Banking and financing; financial asset investing,Professionals,66,0.46,1.9
KK110,Banking and financing; financial asset investing,Technicians and associate professionals,57,0.46,1.86
KK110,Banking and financing; financial asset investing,Clerks,144,0.46,1.7
LL12_,Property operators and real estate services,Technicians and associate professionals,99,0.5,1.63
LL12_,Property operators and real estate services,Clerks,42,0.52,0.85
MN11_,"Professional, scientific and technical services",Professionals,450,0.46,1.86
MN11_,"Professional, scientific and technical services",Technicians and associate professionals,192,0.47,1.99
MN11_,"Professional, scientific and technical services",Clerks,252,0.47,1.9
MN21_,Administrative and support services,Professionals,21,0.47,2.02
MN21_,Administrative and support services,Technicians and associate professionals,42,0.48,2
MN21_,Administrative and support services,Clerks,36,0.47,1.53
MN21_,Administrative and support services,Service and sales workers,36,0.5,1.59
MN21_,Administrative and support services,Elementary occupations (inc. residuals),219,0.52,-0.93
OO21_,Public safety and defence,Clerks,30,0.46,0.25
OO211,Central government administration and justice,Legislators,15,0.46,0.63
OO211,Central government administration and justice,Professionals,24,0.46,0.68
OO211,Central government administration and justice,Technicians and associate professionals,90,0.48,-0.23
OO211,Central government administration and justice,Clerks,39,0.47,0.18
OO211,Central government administration and justice,Service and sales workers,12,0.49,-0.24
PP11_,Education and training,Legislators,168,0.5,1.12
PP11_,Education and training,Professionals,1065,0.52,0.34
PP11_,Education and training,Clerks,96,0.5,0.69
PP11_,Education and training,Service and sales workers,42,0.52,-0.29
RS11_,Arts and recreational services,Technicians and associate professionals,132,0.46,1.4
RS11_,Arts and recreational services,Clerks,42,0.48,1.25
RS11_,Arts and recreational services,Service and sales workers,36,0.48,1.1
RS219,"Religious services; civil, professional and other interest groups",Legislators,27,0.45,1.52
RS219,"Religious services; civil, professional and other interest groups",Professionals,72,0.47,1.79
RS219,"Religious services; civil, professional and other interest groups",Technicians and associate professionals,39,0.47,1.15
RS219,"Religious services; civil, professional and other interest groups",Clerks,36,0.46,1.03
